title,originallink,link,description,pubDate,update
"당진시, 마을회관 건축에 공공건축가 참여 복합 표준모델 적용",http://yna.kr/AKR20220406073600063?did=1195m,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0013095935,이 마을회관은 주민 의견을 수렴해 공간을 구성해 사용자 만족도를 높이고 <b>코로나</b>19 팬데믹에 따른 언택트 시대에 공간 분리가 가능한 '모듈러'(modular) 공법을 도입해 에너지 절감까지 고려했다. 조숙경 건축과장은... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"서울시, 2025년까지 ‘공보육’ 비율 70%로 늘린다",https://www.khan.co.kr/local/Seoul/article/202204061115011,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003138797,우선 저출생과 <b>코로나</b>19 확산 등에 따라 인원 충족률 기준을 70% 이상에서 60%로 완화한다. 장애 아동과 다문화 가정 아동 등 사회취약계층을 얼마나 수용하는지 등을 고려해 가점을 부여하는 형태로 우대한다. 친환경 급... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
세대 구분 없이 이용률 증가···10명 중 6명 ‘실시간 방송 판매’로 쇼핑,https://www.khan.co.kr/local/Seoul/article/202204061116001,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003138799,<b>코로나</b>19 확산으로 비대면 소비가 보편화되면서 실시간 방송 판매(라이브 커머스)를 이용한 쇼핑 비중이 크게 증가한 것으로 나타났다. 서울시는 전국 20~50대 시민 4000명을 대상으로 라이브 커머스 경험을 조사한... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
[속보]확진자가 직접 약국에서 처방약 받는다,https://www.nocutnews.co.kr/news/5735418,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003628677,6일부터 <b>코로나</b>19 확진자들이 직접 약국을 방문해서 의사로부터 처방받은 의약품을 수령할 수 있게 됐다. 이에따라 그동안 가족들의 도움에 의존하느라 겪었던 어려움이 해소될 것으로 전망된다. ※CBS노컷뉴스는... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"광양 ‘만원의 희망’ 찾기 운동, 투병 공무원에게 7700만원 전달",https://www.seoul.co.kr/news/newsView.php?id=20220406500056&wlog_tag3=naver,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003263602,김 위원장은 “<b>코로나</b>19의 어려운 환경에도 각계각층의 시민들이 자발적으로 아름다운 동행을 실천해 주신데 대해 깊은 감사와 존경을 표한다”며 “하루빨리 모범공무원의 건강이 회복되기를 간절히 바란다”고 말했다.... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
'서울형어린이집' 25년까지 800개소로 확대…공보육 강화,https://www.nocutnews.co.kr/news/5735286,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=079&aid=0003628676,"서울시는 또 저출생과 <b>코로나</b>19 등 변화하는 보육환경과 보육의 질 중심 평가, 사회취약계층(장애아·다문화... 김선순 서울시 여성가족정책실장은 &quot;저출생, <b>코로나</b>19 등 환경변화와 보육현장의 수요를 반영해... ","Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"'S펜' 든 갤럭시S22, GOS 논란딪고 100만대 돌파한다",http://news.bizwatch.co.kr/article/industry/2022/04/06/0005,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=648&aid=0000007228,강민수 카운터포인트리서치 연구원은 &quot;갤럭시 S22 판매의 초기 흥행은 전작 출시 시기와 비교해 <b>코로나</b> 상황이 안정되고 있다는 측면과 기존의 탄탄한 수요층을 가지고 있던 노트 시리즈에 대한 대체 모델로서... ,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"대전시, 민간건축공사 지역 하도급 수주 컨디션 ‘맑음’",http://news.heraldcorp.com/view.php?ud=20220406000393,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001973919,"허태정 시장은“지역업체 참여율이 지속적으로 상승하고 있는 현상은 <b>코로나</b>로 힘든 겨울을 보내고 있는 지역건설업계에 가뭄에 단비와 같은 소식”이라며, “지속적인 현장관리와 시공사와의 적극적으로 소통으로... ","Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"비투비 이민혁, '꽃다발 보다 빛나는 외모' [MD포토]",http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202204061116397219&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=106&oid=117&aid=0003591418,'2022 보령해양머드박람회'(보령 머드축제)는 <b>코로나</b>19 팬데믹 이후 국내에서 치러지는 첫 국제 박람회로 오는 7월 16일부터 8월 15일까지 31일간 충남 보령시 대천해수욕장에서 열린다.,"Wed, 06 Apr 2022 11:17:00 +0900",2022-04-06 11:19:47
"[주식초고수는 지금] 일동제약, <b>코로나</b> 치료제 승인 기대감에 매수·매도 1위",https://www.sedaily.com/NewsView/264L7OAFFP,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0004038815,일동제약은 최근 일본 시오노기제약과 공동 개발 중인 먹는 <b>코로나</b>19 치료제의 상용화 기대감에 시장의 관심이 집중되고 있다. 일동제약이 공동 개발하고 있는 <b>코로나</b>19 치료제 후보물질 ‘S-217622’가 일본에서는... ,"Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
"고성군, 5월 2일까지 지방소득세 확정 신고 기간 운영",https://mbcnewsgangwon.co.kr/article/yOvgbJP2KkpoYXyBpURL,https://mbcnewsgangwon.co.kr/article/yOvgbJP2KkpoYXyBpURL,"신고, 납부는 위택스를 통한 전자신고와 고성군청 재무과에 우편으로 할 수 있습니다. 고성군은 <b>코로나</b>19로 경영에 어려움을 겪고 있는 지역 기업이 납부 연장 신청을 할 경우 적극 검토해 연장해줄 방침입니다.","Wed, 06 Apr 2022 11:16:00 +0900",2022-04-06 11:19:47
