country_name,active_cases,population
USA,28732901,334067117
India,1831268,1401420842
Brazil,2560816,214944815
France,6484810,65501579
UK,2827895,68449042
Russia,1281447,146033276
Turkey,621666,85771517
Italy,2643817,60321429
Spain,3846305,46783375
Germany,2035868,84206954
Argentina,609436,45850443
Iran,134278,85689619
Colombia,92756,51738932
Mexico,637278,131070928
Poland,767530,37781153
Indonesia,68596,278088950
Netherlands,1187512,17194738
Ukraine,341547,43318819
South Africa,65299,60488828
Philippines,190818,111882790
Peru,0,33696664
Belgium,966268,11669262
Canada,230713,38264536
Czechia,297583,10740352
Malaysia,53248,33020453
Israel,441148,9326000
Japan,605857,125865021
Portugal,597879,10149757
Australia,295035,25966857
Thailand,84316,70076537
Vietnam,215500,98721111
Romania,256978,19035018
Switzerland,860420,8754542
Iraq,75441,41645884
Chile,331249,19375238
Sweden,733514,10198687
Greece,217499,10342651
Austria,305888,9087532
Bangladesh,202226,167279293
Denmark,546808,5824409
Serbia,276275,8681791
Hungary,231601,9621614
Pakistan,104045,227658008
Kazakhstan,150383,19131183
Jordan,79853,10363020
Georgia,151165,3977075
Ireland,381086,5024843
Morocco,46610,37601056
Cuba,14685,11315699
Slovakia,127457,5463818
Nepal,79272,29963545
Bulgaria,239320,6865838
Croatia,54650,4065285
Lebanon,222362,6777175
Tunisia,114291,12013818
Bolivia,142102,11924301
S. Korea,214196,51338859
UAE,65719,10079002
Norway,674670,5488162
Belarus,3375,9444415
Slovenia,172388,2079389
Ecuador,0,18065791
Panama,68736,4421939
Guatemala,39414,18438366
Saudi Arabia,37971,35669357
Costa Rica,101937,5167548
Lithuania,93383,2662299
Uruguay,68807,3492739
Azerbaijan,24713,10283441
Sri Lanka,16632,21555010
Paraguay,65869,7270814
Dominican Republic,8541,11019622
Kuwait,50785,4370231
Myanmar,2751,54985657
Palestine,40861,5288417
Finland,441880,5554311
Venezuela,16609,28308704
Ethiopia,59813,119453496
Mongolia,128027,3361587
Moldova,46231,4019157
Libya,31192,7018746
Egypt,44810,105379108
Latvia,88827,1853263
Honduras,254332,10153162
Bahrain,42613,1794756
Armenia,23737,2971989
Singapore,20480,5922978
Bosnia and Herzegovina,137458,3248591
Qatar,22733,2807805
Oman,19584,5311388
Estonia,76137,1327944
Kenya,21076,55639214
Zambia,3158,19195517
North Macedonia,20114,2083239
Albania,20498,2872835
Cyprus,128249,1221234
Nigeria,20869,214195243
Algeria,78168,45100221
Botswana,4841,2426520
Zimbabwe,5798,15204343
Mozambique,9571,32635739
Uzbekistan,11277,34234629
Montenegro,6505,628192
Kyrgyzstan,7840,6694024
Réunion,71260,905399
Afghanistan,8158,40310909
Uganda,58955,48017369
Ghana,1876,32095939
Namibia,6188,2613497
Luxembourg,32196,642046
Maldives,17602,555563
El Salvador,10172,6537878
Laos,125646,7442158
Rwanda,81881,13458447
Jamaica,52194,2981574
Cambodia,805,17084104
Cameroon,6196,27587716
Trinidad and Tobago,23503,1406644
Guadeloupe,102296,400232
Angola,1553,34477405
